identifier,display_name,relative_path,deps
5.0.0_pre.0 edwards/EdwardsPoint/compress_batch,compress_batch,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core slice/iter; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/map; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/zip; 5.0.0_pre.0 affine/edwards/AffinePoint/compress; 5.0.0_pre.0 field/FieldElement51/batch_invert; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/collect
core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/by_ref,by_ref,src/backend/serial/scalar_mul/pippenger.rs,
ConditionallyNegatable/conditional_negate,conditional_negate,src/field.rs,
5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/from_montgomery,from_montgomery,src/scalar.rs,5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat; 5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded; 5.0.0_pre.0 scalar_specs/u64/serial/backend/montgomery_radix; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/montgomery_reduce; 5.0.0_pre.0 scalar_specs/u64/serial/backend/group_order; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_from_montgomery_limbs_conversion
5.0.0_pre.0 edwards/EdwardsPoint/PartialEq/eq,eq,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core cmp/Eq; core https:/github.com/rust_lang/rust/library/core convert/Into/into; 5.0.0_pre.0 edwards/EdwardsPoint/ConstantTimeEq/ct_eq
5.0.0_pre.0 curve_models/serial/backend/ProjectiveNielsPoint/ConditionallySelectable/conditional_select,conditional_select,src/backend/serial/curve_models/mod.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/ConditionallySelectable/conditional_select
5.0.0_pre.0 montgomery/ProjectivePoint/Identity/identity,identity,src/montgomery.rs,core https:/github.com/rust_lang/rust/library/core default/Default
Choice/unwrap_u8,unwrap_u8,src/edwards/affine.rs,
5.0.0_pre.0 edwards/EdwardsPoint/Debug/fmt,fmt,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core arith/ops/SubAssign; core https:/github.com/rust_lang/rust/library/core borrow/Borrow; ConditionallySelectable; 5.0.0_pre.0 decompress/edwards/step_2; core https:/github.com/rust_lang/rust/library/core arith/ops/AddAssign; 5.0.0_pre.0 traits/IsIdentity; 5.0.0_pre.0 traits/Identity; ConstantTimeEq; core https:/github.com/rust_lang/rust/library/core arith/ops/MulAssign; core https:/github.com/rust_lang/rust/library/core marker/Sized; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator; core https:/github.com/rust_lang/rust/library/core arith/ops/Neg; core https:/github.com/rust_lang/rust/library/core arith/ops/Add; core https:/github.com/rust_lang/rust/library/core arith/ops/Sub; core https:/github.com/rust_lang/rust/library/core accum/traits/iter/Sum; core https:/github.com/rust_lang/rust/library/core convert/From; 5.0.0_pre.0 decompress/edwards/step_1; core https:/github.com/rust_lang/rust/library/core arith/ops/Mul
5.0.0_pre.0 edwards/EdwardsPoint/to_affine,to_affine,src/edwards.rs,5.0.0_pre.0 field/FieldElement51/invert
